Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,5.9545,99.25,0.06976419701409237
0.2,0.4,8.825,100.0,0.08392782207301722
0.2,0.6,9.536,100.0,0.08895214374666428
0.2,0.8,10.09,100.0,0.09285051067780874
0.2,1.0,11.0545,100.0,0.10154861640010154
0.4,0.2,0.2555,100.0,0.05100349373932114
0.4,0.4,5.182,100.0,0.06551362683438156
0.4,0.6,8.1985,100.0,0.07982438635002993
0.4,0.8,10.033,100.0,0.09266981744045964
0.4,1.0,11.4545,100.0,0.10529086601737299
0.6,0.2,-16.022,97.85000000000001,0.02946332552555207
0.6,0.4,-0.749,99.95,0.04853308743235701
0.6,0.6,5.608,100.0,0.06702412868632708
0.6,0.8,9.233,100.0,0.08666262241095415
0.6,1.0,11.328,100.0,0.10345541071798055
0.8,0.2,-63.755,59.4,0.01465179997362676
0.8,0.4,-11.0575,99.4,0.033396229565682035
0.8,0.6,3.1385,100.0,0.058175048721603305
0.8,0.8,8.7965,100.0,0.08346200392271418
0.8,1.0,11.5895,100.0,0.10642260416112383
1.0,0.2,-120.3195,8.55,0.01061627474919051
1.0,0.4,-36.918,86.85000000000001,0.019950323694001935
1.0,0.6,-1.1335,100.0,0.04700683949514655
1.0,0.8,8.1775,100.0,0.07933674481336031
1.0,1.0,11.8965,100.0,0.10984786071291261
