Availability,Accuracy,Avg Reward,Success Rate (%),Avg Learning Speed
0.2,0.2,-144.34666666666666,0.0,0.01
0.2,0.4,-135.96,0.0,0.01
0.2,0.6,-138.18333333333334,0.6666666666666667,0.010065425264217413
0.2,0.8,-132.90333333333334,0.6666666666666667,0.010061374383740818
0.2,1.0,-127.40666666666667,1.6666666666666667,0.010165700925078784
0.4,0.2,-132.71,0.33333333333333337,0.010032773727509865
0.4,0.4,-126.56,1.6666666666666667,0.010166389914941204
0.4,0.6,-119.33333333333333,0.6666666666666667,0.010066438494060801
0.4,0.8,-111.83333333333333,5.0,0.010394650220020096
0.4,1.0,-96.38,14.666666666666666,0.011049723756906077
0.6,0.2,-129.19333333333333,1.0,0.010095231685567183
0.6,0.4,-118.22333333333333,3.0,0.01029512697323267
0.6,0.6,-95.31666666666666,19.666666666666664,0.011509245760761145
0.6,0.8,-59.516666666666666,58.666666666666664,0.015003750937734431
0.6,1.0,-27.813333333333333,85.0,0.02293052052281587
0.8,0.2,-135.07333333333332,1.3333333333333335,0.010126240464456896
0.8,0.4,-96.83,24.0,0.011720123451967027
0.8,0.6,-40.53333333333333,79.66666666666666,0.019007793195210038
0.8,0.8,-8.753333333333334,97.33333333333334,0.0362406378352259
0.8,1.0,-6.066666666666666,88.66666666666667,0.04099480732440557
1.0,0.2,-116.98,12.333333333333334,0.010841675400238518
1.0,0.4,-48.68,76.66666666666667,0.017184098980410126
1.0,0.6,-4.6,99.33333333333333,0.04167824395665463
1.0,0.8,2.4266666666666667,98.66666666666667,0.05778120184899845
1.0,1.0,-4.67,84.66666666666667,0.044543429844097995
